Transaction Date,Day of Week,Month,Quarter,Financial Year,Outlet ID,Outlet Name,Area,Product ID,Product Name,Category,Units Sold,Unit Price,Gross Sales,Discount %,Discount Amount,Net Sales,GST %,GST Amount,Total Bill,Payment Mode,Customer Count,Average Bill Size,Peak Hour Sales %,Weather,Special Event,Holiday,Stock Availability,Employee Shift,Manager Name,Remarks
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD001,Chicken Burger,Burgers,131,220,28820,0.05,1441.0,27379.0,5,1368.95,28747.95,Cash,93,309.12,54.13,Overcast,None,No,Available,Evening,Aarav Sharma,5% Discount Day
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD002,Veg Burger,Burgers,105,160,16800,0.05,840.0,15960.0,5,798.0,16758.0,UPI,79,212.13,54.13,Overcast,None,No,Available,Evening,Aarav Sharma,5% Discount Day
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD003,French Fries,Sides,91,110,10010,0.05,500.5,9509.5,5,475.48,9984.98,UPI,67,149.03,54.13,Overcast,None,No,Available,Evening,Aarav Sharma,5% Discount Day
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD001,Chicken Burger,Burgers,106,215,22790,0.0,0.0,22790.0,5,1139.5,23929.5,Cash,77,310.77,70.45,Overcast,Marathon,No,Available,Evening,Ananya Iyer,Marathon Day - Early Morning Peak
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD002,Veg Burger,Burgers,92,155,14260,0.0,0.0,14260.0,5,713.0,14973.0,Credit Card,64,233.95,70.45,Overcast,Marathon,No,Available,Evening,Ananya Iyer,Marathon Day - Early Morning Peak
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD003,French Fries,Sides,84,105,8820,0.0,0.0,8820.0,5,441.0,9261.0,Wallet,67,138.22,70.45,Overcast,Marathon,No,Available,Evening,Ananya Iyer,Marathon Day - Early Morning Peak
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD001,Chicken Burger,Burgers,96,220,21120,0.0,0.0,21120.0,5,1056.0,22176.0,Cash,70,316.8,56.21,Overcast,None,No,Available,Evening,Rahul Nair,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD002,Veg Burger,Burgers,86,160,13760,0.0,0.0,13760.0,5,688.0,14448.0,Wallet,63,229.33,56.21,Overcast,None,No,Available,Evening,Rahul Nair,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD003,French Fries,Sides,68,110,7480,0.0,0.0,7480.0,5,374.0,7854.0,Cash,50,157.08,56.21,Overcast,None,No,Available,Evening,Rahul Nair,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD001,Chicken Burger,Burgers,95,200,19000,0.0,0.0,19000.0,5,950.0,19950.0,UPI,78,255.77,60.62,Overcast,None,No,Available,Evening,Priyanka Sen,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD002,Veg Burger,Burgers,80,145,11600,0.0,0.0,11600.0,5,580.0,12180.0,UPI,65,187.38,60.62,Overcast,None,No,Available,Evening,Priyanka Sen,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD003,French Fries,Sides,65,95,6175,0.0,0.0,6175.0,5,308.75,6483.75,Credit Card,51,127.13,60.62,Overcast,None,No,Available,Evening,Priyanka Sen,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD001,Chicken Burger,Burgers,96,225,21600,0.0,0.0,21600.0,5,1080.0,22680.0,Credit Card,65,348.92,45.7,Overcast,None,No,Available,Evening,Vikram Malhotra,Normal Operations
