Month,Year,Financial Year,Total Units Sold,Gross Sales,Total Discount,Net Sales,Total GST,Total Revenue,Est COGS,Est Labor Cost,Est Rent Utilities,Est Net Profit,Customer Footfall,Average Spend Per Customer
August,2025,FY 2025-26,67196,10615805.0,80424.75,10535380.25,526769.12,11062149.37,3687383.09,2107076.05,1580307.04,3160614.07,50049,221.03
September,2025,FY 2025-26,59343,9357335.0,65683.5,9291651.5,464582.62,9756234.12,3252078.02,1858330.3,1393747.72,2787495.45,44096,221.25
October,2025,FY 2025-26,74856,11824450.0,104159.5,11720290.5,586014.54,12306305.04,4102101.67,2344058.1,1758043.57,3516087.15,55826,220.44
November,2025,FY 2025-26,68882,10866065.0,96622.75,10769442.25,538472.2,11307914.45,3769304.79,2153888.45,1615416.34,3230832.67,51257,220.61
December,2025,FY 2025-26,84002,13259090.0,111187.25,13147902.75,657395.17,13805297.92,4601765.96,2629580.55,1972185.41,3944370.82,62402,221.23
January,2026,FY 2025-26,77469,12231915.0,72963.5,12158951.5,607947.6,12766899.1,4255633.02,2431790.3,1823842.72,3647685.45,57592,221.68
February,2026,FY 2025-26,61223,9665850.0,78946.5,9586903.5,479345.2,10066248.7,3355416.22,1917380.7,1438035.52,2876071.05,45419,221.63
March,2026,FY 2025-26,67924,10723580.0,79207.0,10644373.0,532218.72,11176591.72,3725530.55,2128874.6,1596655.95,3193311.9,50579,220.97
April,2026,FY 2026-27,67685,10678280.0,92777.25,10585502.75,529275.21,11114777.96,3704925.96,2117100.55,1587825.41,3175650.82,50137,221.69
May,2026,FY 2026-27,79401,12539445.0,110608.0,12428837.0,621441.91,13050278.91,4350092.95,2485767.4,1864325.55,3728651.1,59351,219.88
June,2026,FY 2026-27,63218,9987820.0,75993.5,9911826.5,495591.36,10407417.86,3469139.27,1982365.3,1486773.97,2973547.95,46975,221.55
July,2026,FY 2026-27,64699,10209520.0,100114.25,10109405.75,505470.39,10614876.14,3538292.01,2021881.15,1516410.86,3032821.73,48213,220.17
